accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
AF533012	AF533012.1	GenBank		AF533012			XXXX-XX-XX	2002-12-13	2002-12-16	15654					Skiadopoulos,M.H.,Vogel,L.,Riggs,J.M.,Surman,S.R.,Collins,P.L.,Murphy,B.R.	NIAID, NIH, Laboratory of Infectious Diseases	USA			Skiadopoulos et al.
D00865	D00865.1	GenBank		D00865			XXXX-XX-XX	1993-04-29	2020-12-19	2054					Precious,B.,Southern,J.A.,Randall,R.E.					Precious et al.
DJ447436	DJ447436.1	GenBank		DJ447436			XXXX-XX-XX	2008-07-10	2008-07-10	22					Bai,Y.,Terng,H.					Bai et al.
DJ447437	DJ447437.1	GenBank		DJ447437			XXXX-XX-XX	2008-07-10	2008-07-10	23					Bai,Y.,Terng,H.					Bai et al.
DJ447438	DJ447438.1	GenBank		DJ447438			XXXX-XX-XX	2008-07-10	2008-07-10	24					Bai,Y.,Terng,H.					Bai et al.
DJ447465	DJ447465.1	GenBank		DJ447465			XXXX-XX-XX	2008-07-10	2008-07-10	36					Bai,Y.,Terng,H.					Bai et al.
DJ447466	DJ447466.1	GenBank		DJ447466			XXXX-XX-XX	2008-07-10	2008-07-10	28					Bai,Y.,Terng,H.					Bai et al.
DJ447467	DJ447467.1	GenBank		DJ447467			XXXX-XX-XX	2008-07-10	2008-07-10	23					Bai,Y.,Terng,H.					Bai et al.
DM090600	DM090600.1	GenBank		DM090600			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090601	DM090601.1	GenBank		DM090601			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090602	DM090602.1	GenBank		DM090602			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090603	DM090603.1	GenBank		DM090603			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090604	DM090604.1	GenBank		DM090604			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090605	DM090605.1	GenBank		DM090605			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090606	DM090606.1	GenBank		DM090606			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090607	DM090607.1	GenBank		DM090607			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090608	DM090608.1	GenBank		DM090608			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090609	DM090609.1	GenBank		DM090609			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090610	DM090610.1	GenBank		DM090610			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090611	DM090611.1	GenBank		DM090611			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090612	DM090612.1	GenBank		DM090612			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090613	DM090613.1	GenBank		DM090613			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090614	DM090614.1	GenBank		DM090614			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090615	DM090615.1	GenBank		DM090615			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090616	DM090616.1	GenBank		DM090616			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090617	DM090617.1	GenBank		DM090617			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090618	DM090618.1	GenBank		DM090618			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090619	DM090619.1	GenBank		DM090619			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090620	DM090620.1	GenBank		DM090620			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090621	DM090621.1	GenBank		DM090621			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090622	DM090622.1	GenBank		DM090622			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090623	DM090623.1	GenBank		DM090623			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090624	DM090624.1	GenBank		DM090624			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090625	DM090625.1	GenBank		DM090625			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090626	DM090626.1	GenBank		DM090626			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090627	DM090627.1	GenBank		DM090627			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090628	DM090628.1	GenBank		DM090628			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090629	DM090629.1	GenBank		DM090629			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090630	DM090630.1	GenBank		DM090630			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090631	DM090631.1	GenBank		DM090631			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090632	DM090632.1	GenBank		DM090632			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090633	DM090633.1	GenBank		DM090633			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090634	DM090634.1	GenBank		DM090634			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090635	DM090635.1	GenBank		DM090635			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090636	DM090636.1	GenBank		DM090636			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090637	DM090637.1	GenBank		DM090637			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090638	DM090638.1	GenBank		DM090638			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090639	DM090639.1	GenBank		DM090639			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090640	DM090640.1	GenBank		DM090640			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090641	DM090641.1	GenBank		DM090641			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090642	DM090642.1	GenBank		DM090642			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090643	DM090643.1	GenBank		DM090643			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090644	DM090644.1	GenBank		DM090644			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090645	DM090645.1	GenBank		DM090645			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090646	DM090646.1	GenBank		DM090646			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090647	DM090647.1	GenBank		DM090647			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090648	DM090648.1	GenBank		DM090648			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090649	DM090649.1	GenBank		DM090649			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090650	DM090650.1	GenBank		DM090650			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090651	DM090651.1	GenBank		DM090651			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090652	DM090652.1	GenBank		DM090652			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090653	DM090653.1	GenBank		DM090653			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090654	DM090654.1	GenBank		DM090654			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090655	DM090655.1	GenBank		DM090655			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090656	DM090656.1	GenBank		DM090656			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090657	DM090657.1	GenBank		DM090657			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090658	DM090658.1	GenBank		DM090658			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090659	DM090659.1	GenBank		DM090659			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090660	DM090660.1	GenBank		DM090660			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DM090661	DM090661.1	GenBank		DM090661			XXXX-XX-XX	2009-04-21	2009-04-21	19					Ga,C.,Kumar,M.,Mcswiggen,J.A.					Ga et al.
DQ072586	DQ072586.1	GenBank		PIV-2:LYON/18620/2001	Europe		XXXX-XX-XX	2007-04-18	2008-09-04	4333					Terrier,O.,Cartet,G.,Ferraris,O.,Morfin,F.,Thouvenot,D.,Hong,S.S.,Lina,B.	Rockefeller Medecine Faculty, Laboratoire de Virologie	France	France		Terrier et al.
DQ072587	DQ072587.1	GenBank		PIV-2:Lyon/20283/2001	Europe		XXXX-XX-XX	2007-04-18	2008-09-04	4333					Terrier,O.,Cartet,G.,Ferraris,O.,Morfin,F.,Thouvenot,D.,Hong,S.S.,Lina,B.	Rockefeller Medecine Faculty, Laboratoire de Virologie	France	France		Terrier et al.
DQ072588	DQ072588.1	GenBank		PIV-2:20435/Lyon/2001	Europe		XXXX-XX-XX	2007-04-18	2008-09-04	4335					Terrier,O.,Cartet,G.,Ferraris,O.,Morfin,F.,Thouvenot,D.,Hong,S.S.,Lina,B.	Rockefeller Medecine Faculty, Laboratoire de Virologie	France	France		Terrier et al.
DQ072589	DQ072589.1	GenBank		PIV-2:Lyon/26056/1997	Europe		XXXX-XX-XX	2007-04-18	2008-09-04	4394					Terrier,O.,Cartet,G.,Ferraris,O.,Morfin,F.,Thouvenot,D.,Hong,S.S.,Lina,B.	Rockefeller Medecine Faculty, Laboratoire de Virologie	France	France		Terrier et al.
DQ072590	DQ072590.1	GenBank		PIV-2:Lyon/26632/1997	Europe		XXXX-XX-XX	2007-04-18	2008-09-04	2472					Terrier,O.,Cartet,G.,Ferraris,O.,Morfin,F.,Thouvenot,D.,Hong,S.S.,Lina,B.	Rockefeller Medecine Faculty, Laboratoire de Virologie	France	France		Terrier et al.
E03805	E03805.1	GenBank		E03805			XXXX-XX-XX	1997-06-06	2005-11-04	6866					Kondo,K.,Kono,M.,Ito,Y.					Kondo et al.
E03806	E03806.1	GenBank		E03806			XXXX-XX-XX	1997-06-06	2005-11-04	1341					Kondo,K.,Kono,M.,Ito,Y.					Kondo et al.
FV537050	FV537050.1	GenBank		FV537050			XXXX-XX-XX	2010-03-18	2010-03-18	15646					Millar,D.S.,Meruki,J.R.					Millar et al.
FV537051	FV537051.1	GenBank		FV537051			XXXX-XX-XX	2010-03-18	2010-03-18	15646					Millar,D.S.,Meruki,J.R.					Millar et al.
FV537052	FV537052.1	GenBank		FV537052			XXXX-XX-XX	2010-03-18	2010-03-18	15646					Millar,D.S.,Meruki,J.R.					Millar et al.
FV537053	FV537053.1	GenBank		FV537053			XXXX-XX-XX	2010-03-18	2010-03-18	15646					Millar,D.S.,Meruki,J.R.					Millar et al.
FW584444	FW584444.1	GenBank		FW584444			XXXX-XX-XX	2011-02-28	2011-04-01	21					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584445	FW584445.1	GenBank		FW584445			XXXX-XX-XX	2011-02-28	2011-04-01	21					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584446	FW584446.1	GenBank		FW584446			XXXX-XX-XX	2011-02-28	2011-04-01	20					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584447	FW584447.1	GenBank		FW584447			XXXX-XX-XX	2011-02-28	2011-04-01	21					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584448	FW584448.1	GenBank		FW584448			XXXX-XX-XX	2011-02-28	2011-04-01	20					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584449	FW584449.1	GenBank		FW584449			XXXX-XX-XX	2011-02-28	2011-04-01	21					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584450	FW584450.1	GenBank		FW584450			XXXX-XX-XX	2011-02-28	2011-04-01	21					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584451	FW584451.1	GenBank		FW584451			XXXX-XX-XX	2011-02-28	2011-04-01	20					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584452	FW584452.1	GenBank		FW584452			XXXX-XX-XX	2011-02-28	2011-04-01	19					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584453	FW584453.1	GenBank		FW584453			XXXX-XX-XX	2011-02-28	2011-04-01	19					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584454	FW584454.1	GenBank		FW584454			XXXX-XX-XX	2011-02-28	2011-04-01	20					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584455	FW584455.1	GenBank		FW584455			XXXX-XX-XX	2011-02-28	2011-04-01	20					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584456	FW584456.1	GenBank		FW584456			XXXX-XX-XX	2011-02-28	2011-04-01	4333					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584457	FW584457.1	GenBank		FW584457			XXXX-XX-XX	2011-02-28	2011-04-01	1656					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584458	FW584458.1	GenBank		FW584458			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584459	FW584459.1	GenBank		FW584459			XXXX-XX-XX	2011-02-28	2011-04-01	4333					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584460	FW584460.1	GenBank		FW584460			XXXX-XX-XX	2011-02-28	2011-04-01	1812					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584461	FW584461.1	GenBank		FW584461			XXXX-XX-XX	2011-02-28	2011-04-01	1776					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584462	FW584462.1	GenBank		FW584462			XXXX-XX-XX	2011-02-28	2011-04-01	4335					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584463	FW584463.1	GenBank		FW584463			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584464	FW584464.1	GenBank		FW584464			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584465	FW584465.1	GenBank		FW584465			XXXX-XX-XX	2011-02-28	2011-04-01	4394					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584466	FW584466.1	GenBank		FW584466			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584467	FW584467.1	GenBank		FW584467			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584468	FW584468.1	GenBank		FW584468			XXXX-XX-XX	2011-02-28	2011-04-01	2472					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584469	FW584469.1	GenBank		FW584469			XXXX-XX-XX	2011-02-28	2011-04-01	1656					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584470	FW584470.1	GenBank		FW584470			XXXX-XX-XX	2011-02-28	2011-04-01	1656					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584471	FW584471.1	GenBank		FW584471			XXXX-XX-XX	2011-02-28	2011-04-01	15646					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584472	FW584472.1	GenBank		FW584472			XXXX-XX-XX	2011-02-28	2011-04-01	1656					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584473	FW584473.1	GenBank		FW584473			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584474	FW584474.1	GenBank		FW584474			XXXX-XX-XX	2011-02-28	2011-04-01	15654					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584475	FW584475.1	GenBank		FW584475			XXXX-XX-XX	2011-02-28	2011-04-01	1655					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584476	FW584476.1	GenBank		FW584476			XXXX-XX-XX	2011-02-28	2011-04-01	1716					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584477	FW584477.1	GenBank		FW584477			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584478	FW584478.1	GenBank		FW584478			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584479	FW584479.1	GenBank		FW584479			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584480	FW584480.1	GenBank		FW584480			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584481	FW584481.1	GenBank		FW584481			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584482	FW584482.1	GenBank		FW584482			XXXX-XX-XX	2011-02-28	2011-04-01	137					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584483	FW584483.1	GenBank		FW584483			XXXX-XX-XX	2011-02-28	2011-04-01	137					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584484	FW584484.1	GenBank		FW584484			XXXX-XX-XX	2011-02-28	2011-04-01	137					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584485	FW584485.1	GenBank		FW584485			XXXX-XX-XX	2011-02-28	2011-04-01	137					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584486	FW584486.1	GenBank		FW584486			XXXX-XX-XX	2011-02-28	2011-04-01	137					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584487	FW584487.1	GenBank		FW584487			XXXX-XX-XX	2011-02-28	2011-04-01	210					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584488	FW584488.1	GenBank		FW584488			XXXX-XX-XX	2011-02-28	2011-04-01	210					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584489	FW584489.1	GenBank		FW584489			XXXX-XX-XX	2011-02-28	2011-04-01	210					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584490	FW584490.1	GenBank		FW584490			XXXX-XX-XX	2011-02-28	2011-04-01	210					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584491	FW584491.1	GenBank		FW584491			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
FW584492	FW584492.1	GenBank		FW584492			XXXX-XX-XX	2011-02-28	2011-04-01	180					Lina,B.,Terrier,O.,Thouvenot,D.F.					Lina et al.
