accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage
AB695086	AB695086.1	GenBank		AB695086	Asia		2011-06-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4187	23644	25125	0.048213937146203395
AB695087	AB695087.1	GenBank		AB695087	Asia		2011-07-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4175	23644	25125	0.048213937146203395
AF124989	AF124989.1	GenBank		AF124989			XXXX-XX-XX	1999-05-30	2016-07-26	922					Stephensen,C.B.,Casebolt,D.B.,Gangopadhyay,N.N.	University of California, Western Human Nutrition Research Center, Nutrition	USA			Stephensen et al.		57600	bad	2754	14819	15740	0.029995445377057714
AF523843	AF523843.1	GenBank		AF523843			XXXX-XX-XX	2002-08-21	2016-07-24	948					Raman,S.,Bouma,P.,Williams,G.D.,Brian,D.A.,Wu,H.Y.,Guy,J.S.,Yoo,D.,Vlasak,R.,Urbach,E.,Wu,H.-Y.	Universtiy of Tennessee, Microbiology	USA			Raman et al.		90000	bad	2836	1	948	0.030841303923482336
AF523847	AF523847.1	GenBank		AF523847			XXXX-XX-XX	2002-08-21	2005-06-10	292					Wu,H.Y.,Guy,J.S.,Yoo,D.,Vlasak,R.,Urbach,E.,Brian,D.A.,Wu,H.-Y.	Universtiy of Tennessee, Microbiology	USA			Wu et al.		0	good	847	30448	30738	0.009467109115752489
AH013296	AH013296.2	GenBank		AH013296			XXXX-XX-XX	2003-10-12	2016-06-10	776					Astell,C.R.,Marra,M.,Khattra,J.,Baross,A.,Coughlin,S.,Butterfield,Y.,Griffith,O.,Holt,R.,Jones,S.,McDonald,H.,Petrescu,A.,Smailus,D.,Stott,J.,Brunham,R.,Goh,S.H.,Isaac-Renton,J.,Krajden,M.,Petric,M.,Patrick,D.	British Columbia Cancer Agency (BCCA), Genome Sciences Centre	Canada			Astell et al.		904	bad	2201	29236	30045	0.02309844492159542
AX794201	AX794201.1	GenBank		AX794201			XXXX-XX-XX	2003-07-17	2003-07-17	8					Rottier,P.J.,de Haan,C.A.,Haijema,B.J.,Bosch,B.J.					Rottier et al.							
AY382775	AY382775.1	GenBank		AY382775			XXXX-XX-XX	2003-10-12	2016-07-26	333					Astell,C.R.,Marra,M.,Khattra,J.,Baross,A.,Coughlin,S.,Butterfield,Y.,Griffith,O.,Holt,R.,Jones,S.,McDonald,H.,Petrescu,A.,Smailus,D.,Stott,J.,Brunham,R.,Goh,S.H.,Isaac-Renton,J.,Krajden,M.,Petric,M.,Patrick,D.	British Columbia Cancer Agency (BCCA), Genome Sciences Centre	Canada			Astell et al.		900	bad	967	28581	28913	0.010833495998438416
AY391777	AY391777.1	GenBank		OC43			XXXX-XX-XX	2003-10-22	2005-01-14	30738					Vijgen,L.,Keyaerts,E.,Moes,E.,Thoelen,I.,Wollants,E.,Lemey,P.,Vandamme,A.M.,Van Ranst,M.,Vandamme,A.	Rega Institute for Medical Research, University of Leuven, Laboratory of Virology	Belgium			Vijgen et al.		104755225	bad	92214	1	30738	1
AY461522	AY461522.1	GenBank		AY461522			XXXX-XX-XX	2003-12-07	2016-07-26	1314					Jabado,O.,Ishibashi,K.,Palacios,G.,Briese,T.,Lipkin,W.I.	1801 Mailman School of Public Health, Columbia University, Greene Infectious Disease Laboratory	USA			Jabado et al.		60025	bad	3942	29112	30425	0.042748389615459695
AY585228	AY585228.1	GenBank		AY585228	North America		XXXX-XX-XX	2004-08-04	2004-08-04	30741					St-Jean,J.R.,Jacomy,H.,Desforges,M.,Vabret,A.,Freymuth,F.,Talbot,P.J.	INRS-Institut Armand-Frappier	Canada	USA		St-Jean et al.		104652900	bad	92085	2	30738	0.9999674669789836
AY585229	AY585229.1	GenBank		AY585229	Europe	Paris FR	XXXX-XX-XX	2004-08-04	2004-08-04	30744			oronasopharynx		St-Jean,J.R.,Jacomy,H.,Desforges,M.,Vabret,A.,Freymuth,F.,Talbot,P.J.	INRS-Institut Armand-Frappier	Canada	France	Ile de France	St-Jean et al.		104652900	bad	92061	2	30738	0.9999674669789836
AY878321	AY878321.1	GenBank		AY878321			XXXX-XX-XX	2005-02-05	2016-07-26	539					Sampath,R.,Hofstadler,S.A.,Blyn,L.B.,Eshoo,M.W.,Hall,T.A.,Massire,C.,Levene,H.M.,Hannis,J.C.,Harrell,P.M.,Neuman,B.,Buchmeier,M.J.,Jiang,Y.,Ranken,R.,Drader,J.J.,Samant,V.,Griffey,R.H.,McNeil,J.A.,Crooke,S.T.,Ecker,D.J.	Ibis Therapeutics	USA			Sampath et al.		24025	bad	1617	18755	19293	0.01753529832780272
AY903454	AY903454.1	GenBank		AY903454	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4092					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		960400	bad	11854	23644	27729	0.1329299238727308
AY903455	AY903455.1	GenBank		AY903455	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4086					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		940904	bad	11796	23644	27729	0.1329299238727308
AY903456	AY903456.1	GenBank		AY903456	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4092					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		970225	bad	11850	23644	27729	0.1329299238727308
AY903457	AY903457.1	GenBank		AY903457	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4092					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		960400	bad	11854	23644	27729	0.1329299238727308
AY903458	AY903458.1	GenBank		AY903458	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4086					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		940904	bad	11792	23644	27729	0.1329299238727308
AY903459	AY903459.1	GenBank		87309	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	30723					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, University of Leuven, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		104652904	bad	91039	1	30738	1
AY903460	AY903460.1	GenBank		AY903460	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	30723					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, University of Leuven, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.		103734241	bad	90978	1	30738	1
CQ772291	CQ772291.1	GenBank		CQ772291			XXXX-XX-XX	2004-03-04	2004-03-04	250					Brownlie,J.,Chalker,V.J.,Erles,K.					Brownlie et al.		2500	bad	750	14923	15172	0.008133255254082894
CQ772300	CQ772300.1	GenBank		CQ772300			XXXX-XX-XX	2004-03-04	2004-03-04	4060					Brownlie,J.,Chalker,V.J.,Erles,K.					Brownlie et al.		912029	bad	11230	23644	27697	0.1318888672002082
CQ772309	CQ772309.1	GenBank		CQ772309			XXXX-XX-XX	2004-03-04	2004-03-04	497					Brownlie,J.,Chalker,V.J.,Erles,K.					Brownlie et al.		18225	bad	1483	22772	23268	0.016168911445116795
CS050812	CS050812.1	GenBank		CS050812			XXXX-XX-XX	2005-03-23	2005-03-23	3522					Kostrikis,L.G.					Kostrikis et al.							
CS050831	CS050831.1	GenBank		CS050831			XXXX-XX-XX	2005-03-23	2005-03-23	234					Kostrikis,L.G.					Kostrikis et al.							
CS050853	CS050853.1	GenBank		CS050853			XXXX-XX-XX	2005-03-23	2005-03-23	678					Kostrikis,L.G.					Kostrikis et al.							
CS050880	CS050880.1	GenBank		CS050880			XXXX-XX-XX	2005-03-23	2005-03-23	1111					Kostrikis,L.G.					Kostrikis et al.							
DD266150	DD266150.1	GenBank		DD266150			XXXX-XX-XX	2006-06-16	2006-06-16	250					Chalker,V.J.,Eruresu,K.,Brownlee,J.					Chalker et al.		2500	bad	750	14923	15172	0.008133255254082894
DD266155	DD266155.1	GenBank		DD266155			XXXX-XX-XX	2006-06-16	2006-06-16	4060					Chalker,V.J.,Eruresu,K.,Brownlee,J.					Chalker et al.		912029	bad	11230	23644	27697	0.1318888672002082
DD266159	DD266159.1	GenBank		DD266159			XXXX-XX-XX	2006-06-16	2006-06-16	497					Chalker,V.J.,Eruresu,K.,Brownlee,J.					Chalker et al.		18225	bad	1483	22772	23268	0.016168911445116795
DJ011585	DJ011585.1	GenBank		DJ011585			XXXX-XX-XX	2007-10-04	2007-10-04	3522					Kosutorikisu,R.G.					Kosutorikisu et al.							
DJ011604	DJ011604.1	GenBank		DJ011604			XXXX-XX-XX	2007-10-04	2007-10-04	234					Kosutorikisu,R.G.					Kosutorikisu et al.							
DJ011626	DJ011626.1	GenBank		DJ011626			XXXX-XX-XX	2007-10-04	2007-10-04	678					Kosutorikisu,R.G.					Kosutorikisu et al.							
DJ011653	DJ011653.1	GenBank		DJ011653			XXXX-XX-XX	2007-10-04	2007-10-04	1111					Kosutorikisu,R.G.					Kosutorikisu et al.							
DL143786	DL143786.1	GenBank		DL143786			XXXX-XX-XX	2008-09-26	2008-09-26	358					Walter,E.,Tibbetts,C.,Thornton,J.,Stenger,D.,Seto,D.,Kuruzerokku,R.P.,Rowley,R.,Lin,B.,Hanson,E.H.,Agan,B.,Vora,G.,Thach,D.,Wang,Z.					Walter et al.		625	bad	1070	28568	28925	0.011646821523846704
DQ355401	DQ355401.1	GenBank		DQ355401	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2626					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		455625	bad	7816	23644	26293	0.08621250569327868
DQ355402	DQ355402.1	GenBank		DQ355402	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2653					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		448904	bad	7584	23644	26293	0.08621250569327868
DQ355403	DQ355403.1	GenBank		DQ355403	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2650					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		429029	bad	7540	23644	26293	0.08621250569327868
DQ355404	DQ355404.1	GenBank		DQ355404	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2635					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		462400	bad	7626	23644	26293	0.08621250569327868
DQ355405	DQ355405.1	GenBank		DQ355405	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2656					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		435600	bad	7606	23644	26293	0.08621250569327868
DQ355406	DQ355406.1	GenBank		DQ355406	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2656					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		442225	bad	7610	23644	26293	0.08621250569327868
DQ355407	DQ355407.1	GenBank		DQ355407	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2650					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		429029	bad	7540	23644	26293	0.08621250569327868
DQ355408	DQ355408.1	GenBank		DQ355408	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2650					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.		442225	bad	7559	23644	26293	0.08621250569327868
EF077278	EF077278.1	GenBank		NAT085			2004-10-06	2007-08-23	2007-08-23	420			oronasopharynx		Kistler,A.,Avila,P.C.,Rouskin,S.,Wang,D.,Ward,T.,Yagi,S.,Schnurr,D.,Ganem,D.,DeRisi,J.L.,Boushey,H.A.,Kistler,A.L.,Schnurr,D.P.	UCSF, Howard Hughes Medical Institute, Depts. of Medicine, Biochemistry, and Microbiology	USA			Kistler et al.		104	bad	1221	15185	15605	0.013696401847875593
EF394298	EF394298.2	GenBank		EF394298	Europe		XXXX-XX-XX	2007-05-18	2016-07-26	419					Papa,A.,Papadimitriou,E.,Luna,L.K.,Al Masri,M.,Souliou,E.,Eboriadou,M.,Antoniadis,A.,Drosten,C.	School of Medicine, Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	Greece		Papa et al.		15625	bad	1238	15168	15613	0.014509727373283883
EF394299	EF394299.2	GenBank		EF394299	Europe		XXXX-XX-XX	2007-05-18	2016-07-26	419	Homo sapiens				Papa,A.,Papadimitriou,E.,Luna,L.K.,Al Masri,M.,Souliou,E.,Eboriadou,M.,Antoniadis,A.,Drosten,C.	School of Medicine, Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	Greece		Papa et al.		15625	bad	1241	15168	15586	0.01363133580584293
EF507732	EF507732.1	GenBank		EF507732			2005-XX-XX	2008-03-31	2016-07-26	326					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		10000	bad	941	25561	25883	0.0105081657882751
EF507733	EF507733.1	GenBank		EF507733			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	957	25561	25883	0.0105081657882751
EF507734	EF507734.1	GenBank		EF507734			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507735	EF507735.1	GenBank		EF507735			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507736	EF507736.1	GenBank		EF507736			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507737	EF507737.1	GenBank		EF507737			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507738	EF507738.1	GenBank		EF507738			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507739	EF507739.1	GenBank		EF507739			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507740	EF507740.1	GenBank		EF507740			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507741	EF507741.1	GenBank		EF507741			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507742	EF507742.1	GenBank		EF507742			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507743	EF507743.1	GenBank		EF507743			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		12100	bad	961	25561	25883	0.0105081657882751
EF507744	EF507744.1	GenBank		EF507744			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.		11025	bad	953	25561	25883	0.0105081657882751
EF549611	EF549611.1	GenBank		ITA161			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.							
EF549612	EF549612.1	GenBank		ITA198			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.							
